         date  temperature  temperature_weekly_mean  temperature_weekly_std  temperature_weekly_rate_change  temperature_monthly_mean  temperature_monthly_std  temperature_monthly_rate_change                                               temperature_condition  humidity  humidity_weekly_mean  humidity_weekly_std  humidity_weekly_rate_change  humidity_monthly_mean  humidity_monthly_std  humidity_monthly_rate_change                                                  humidity_condition  soil_moisture  soil_moisture_weekly_mean  soil_moisture_weekly_std  soil_moisture_weekly_rate_change  soil_moisture_monthly_mean  soil_moisture_monthly_std  soil_moisture_monthly_rate_change                                             soil_moisture_condition  light  light_weekly_mean  light_weekly_std  light_weekly_rate_change  light_monthly_mean  light_monthly_std  light_monthly_rate_change                                                     light_condition  water_requirement  water_requirement_weekly_mean  water_requirement_weekly_std  water_requirement_weekly_rate_change  water_requirement_monthly_mean  water_requirement_monthly_std  water_requirement_monthly_rate_change                                         water_requirement_condition  is_week_end  is_month_end
21 2024-11-18        18.00                18.000000                0.000000                        0.000000                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     71.00             68.000000             2.160247                     0.014286                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          81.00                  78.000000                  2.160247                          0.157143                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.10           6.800000          0.216025                  0.183333                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             570.00                     540.000000                     21.602469                              0.140000                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
22 2024-11-19        18.00                18.000000                0.000000                        0.000000                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     72.00             69.000000             2.160247                     0.107692                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          82.00                  79.000000                  2.160247                          0.093333                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.20           6.900000          0.216025                  0.107692                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             580.00                     550.000000                     21.602469                              0.137255                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
23 2024-11-20        18.00                18.000000                0.000000                        0.000000                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     73.00             70.000000             2.160247                     0.106061                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          83.00                  80.000000                  2.160247                          0.092105                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.30           7.000000          0.216025                  0.106061                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             590.00                     560.000000                     21.602469                              0.134615                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
24 2024-11-21        18.00                18.000000                0.000000                        0.000000                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     74.00             71.000000             2.160247                     0.104478                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          84.00                  81.000000                  2.160247                          0.090909                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.40           7.100000          0.216025                  0.104478                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             600.00                     570.000000                     21.602469                              0.132075                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
25 2024-11-22        18.00                18.000000                0.000000                        0.000000                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     75.00             72.000000             2.160247                     0.102941                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          85.00                  82.000000                  2.160247                          0.089744                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.50           7.200000          0.216025                  0.102941                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             610.00                     580.000000                     21.602469                              0.129630                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
26 2024-11-23        17.00                17.857143                0.377964                       -0.055556                       NaN                      NaN                              NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     76.00             73.000000             2.160247                     0.101449                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          86.00                  83.000000                  2.160247                          0.088608                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.60           7.300000          0.216025                  0.101449                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             620.00                     590.000000                     21.602469                              0.127273                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
27 2024-11-24        22.00                18.428571                1.618347                        0.222222                       NaN                      NaN                              NaN          {'daily': 'Healthy', 'weekly': 'Healthy', 'monthly': None}     77.00             74.000000             2.160247                     0.100000                    NaN                   NaN                           NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}          87.00                  84.000000                  2.160247                          0.087500                         NaN                        NaN                                NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}   7.70           7.400000          0.216025                  0.100000                 NaN                NaN                        NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}             630.00                     600.000000                     21.602469                              0.125000                             NaN                            NaN                                    NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}         True         False
28 2024-11-25        26.00                19.571429                3.258688                        0.444444                       NaN                      NaN                              NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     78.00             75.000000             2.160247                     0.098592                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          88.00                  85.000000                  2.160247                          0.086420                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.80           7.500000          0.216025                  0.098592                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             640.00                     610.000000                     21.602469                              0.122807                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
29 2024-11-26        21.00                20.000000                3.214550                        0.166667                 17.949333                 2.530569                              NaN      {'daily': 'Healthy', 'weekly': None, 'monthly': 'Not Healthy'}     79.00             76.000000             2.160247                     0.097222              70.665667              4.470756                           NaN  {'daily': 'Not Healthy', 'weekly': None, 'monthly': 'Not Healthy'}          89.00                  86.000000                  2.160247                          0.085366                   76.995333                   6.949128                                NaN  {'daily': 'Not Healthy', 'weekly': None, 'monthly': 'Not Healthy'}   7.90           7.600000          0.216025                  0.097222            6.802000           0.755360                        NaN  {'daily': 'Not Healthy', 'weekly': None, 'monthly': 'Not Healthy'}             500.00                     598.571429                     46.700668                             -0.137931                      544.342000                      58.598687                                    NaN  {'daily': 'Not Healthy', 'weekly': None, 'monthly': 'Not Healthy'}        False          True
30 2024-11-27        19.00                20.142857                3.132016                        0.055556                 17.982667                 2.537835                         0.055556               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     79.00             76.857143             1.951800                     0.082192              71.198333              4.480360                      0.253570           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          89.00                  86.857143                  1.951800                          0.072289                   77.477000                   7.267294                           0.193830           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.90           7.685714          0.195180                  0.082192            6.853000           0.776540                   0.240188           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             550.00                     592.857143                     50.237531                             -0.067797                      548.551000                      53.990313                               0.297996           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
31 2024-11-28        35.00                22.571429                6.241184                        0.944444                 18.516000                 4.012046                         0.842105           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     51.00             73.571429            10.064080                    -0.310811              70.723667              5.717024                     -0.218271           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          91.00                  87.857143                  2.035401                          0.083333                   77.861333                   7.670052                           0.145086           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   9.00           7.914286          0.501427                  0.216216            6.963667           0.837766                   0.584507           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             650.00                     600.000000                     54.772256                              0.083333                      556.229333                      51.341115                               0.548910           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
